id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
2884452019	20040731	1	900000000000207008	410016009	en	900000000000550004	A decrease in lower leg circumference due to recurrent ulceration and fat necrosis causing loss of subcutaneous tissue in a patient with venous stasis disease	900000000000017005
2884452019	20190731	0	900000000000207008	410016009	en	900000000000550004	A decrease in lower leg circumference due to recurrent ulceration and fat necrosis causing loss of subcutaneous tissue in a patient with venous stasis disease	900000000000017005
2884453012	20050731	1	900000000000207008	416118004	en	900000000000550004	Introduction of a substance to the body	900000000000017005
2884454018	20030731	1	900000000000207008	125097000	en	900000000000550004	Domestic goat	900000000000017005
2884455017	20030731	1	900000000000207008	125099002	en	900000000000550004	Domestic sheep species	900000000000017005
2884455017	20110131	0	900000000000207008	125099002	en	900000000000550004	Domestic sheep species	900000000000017005
2884456016	20030731	1	900000000000207008	122868007	en	900000000000550004	An implantation of a staple	900000000000017005
2884457013	20030731	1	900000000000207008	125085001	en	900000000000550004	Equus subspecies	900000000000017005
2884457013	20100731	0	900000000000207008	125085001	en	900000000000550004	Equus subspecies	900000000000017005
2884458015	20030731	1	900000000000207008	125671007	en	900000000000550004	Disruption of continuity of tissue, not necessarily due to external forces; may be due to weakness in the tissue or excessive internal pressures	900000000000017005
2884459011	20030731	1	900000000000207008	127062003	en	900000000000550004	Peripheral blood red cell count above the normal range	900000000000017005
2884460018	20030731	1	900000000000207008	2504000	en	900000000000550004	An autonomic plexus that is a subdivision of the celiac plexus and accompanies the pancreatic arteries	900000000000017005
2884460018	20200131	0	900000000000207008	2504000	en	900000000000550004	An autonomic plexus that is a subdivision of the celiac plexus and accompanies the pancreatic arteries	900000000000017005
2884461019	20030731	1	900000000000207008	1431002	en	900000000000550004	The act or operation of holding, suturing, or fastening in a fixed position	900000000000017005
2884461019	20200131	0	900000000000207008	1431002	en	900000000000550004	The act or operation of holding, suturing, or fastening in a fixed position	900000000000017005
2884462014	20030731	1	900000000000207008	14509009	en	900000000000550004	Radical excision of tissues and organs of a body cavity	900000000000017005
2884463016	20030731	1	900000000000207008	128207002	en	900000000000550004	An autosomal recessive condition characterized by progressive degeneration of the central and peripheral nervous system with enlargement of axons	900000000000017005
2884463016	20200131	0	900000000000207008	128207002	en	900000000000550004	An autosomal recessive condition characterized by progressive degeneration of the central and peripheral nervous system with enlargement of axons	900000000000017005
2884464010	20030731	1	900000000000207008	24184005	en	900000000000550004	A finding of increased blood pressure; not necessarily hypertensive disorder	900000000000017005
2884465011	20090131	1	900000000000207008	129152004	en	900000000000550004	Procedure on back including back of neck.	900000000000017005
2884466012	20030731	1	900000000000207008	24736005	en	900000000000550004	Soft tissues enclosed within orbital region	900000000000017005
2884467015	20030731	1	900000000000207008	12894003	en	900000000000550004	An evaluation of the performance of an organ, organ system, or body part	900000000000017005
2884468013	20030731	1	900000000000207008	26386000	en	900000000000550004	The eye cavity that contains the vitreous	900000000000017005
2884469017	20030731	1	900000000000207008	12763006	en	900000000000550004	A finding of decreased blood pressure; not necessarily hypotensive disorder	900000000000017005
2884470016	20030731	1	900000000000207008	128065004	en	900000000000550004	Congenital portal-systemic shunt in which at least some portal blood perfuses the liver	900000000000017005
2884470016	20210131	0	900000000000207008	128065004	en	900000000000550004	Congenital portal-systemic shunt in which at least some portal blood perfuses the liver	900000000000017005
2884471017	20030731	1	900000000000207008	128489003	en	900000000000550004	Fine granular particles of rock or similar material	900000000000017005
2884472012	20030731	1	900000000000207008	26701009	en	900000000000550004	Sympathetic and parasympathetic ganglia within pelvic plexi	900000000000017005
2884472012	20180731	0	900000000000207008	26701009	en	900000000000550004	Sympathetic and parasympathetic ganglia within pelvic plexi	900000000000017005
2884473019	20030731	1	900000000000207008	2677003	en	900000000000550004	A removal done by peeling, often using a stripper	900000000000017005
2884474013	20030731	1	900000000000207008	127326005	en	900000000000550004	Disorders which occur in animals but not in man	900000000000017005
2884474013	20140131	0	900000000000207008	127326005	en	900000000000550004	Disorders which occur in animals but not in man	900000000000017005
2884475014	20030731	1	900000000000207008	127559009	en	900000000000550004	The structure representing the everted margin of a part	900000000000017005
2884476010	20030731	1	900000000000207008	22649008	en	900000000000550004	Dermatitis caused by exposure to sunlight	900000000000017005
2884476010	20140131	0	900000000000207008	22649008	en	900000000000550004	Dermatitis caused by exposure to sunlight	900000000000017005
2884477018	20030731	1	900000000000207008	128533009	en	900000000000550004	Congenital small optic disc with normal visual function	900000000000017005
2884478011	20030731	1	900000000000207008	24981001	en	900000000000550004	An autonomic plexus that branches from the inferior mesenteric plexus;  accompanies superior rectal artery to rectum	900000000000017005
2884478011	20120731	0	900000000000207008	24981001	en	900000000000550004	An autonomic plexus that branches from the inferior mesenteric plexus;  accompanies superior rectal artery to rectum	900000000000017005
